invoiceid,customerid,invoicedate,billingaddress,billingcity,billingstate,billingcountry,billingpostalcode,total,last_update
2784,412,2019-06-27 00:00:00+00,519 Nyeri Manor,Kitwe,,Venezuela,230PR-36,0.99,2023-01-04 12:05:44.496643+00
2785,237,2020-05-19 00:00:00+00,886 Tonghae Place,Arecibo,,Mexico,230PR-36,2.97,2023-01-04 12:05:44.498112+00
2786,349,2021-01-21 00:00:00+00,1557 Ktahya Boulevard,Tiefa,,China,607HR-86,5.94,2023-01-04 12:05:44.499329+00
2787,505,2019-03-04 00:00:00+00,454 Nakhon Sawan Boulevard,Hsichuh,,Japan,218AL-510,3.97,2023-01-04 12:05:44.500935+00
2788,306,2020-12-18 00:00:00+00,1838 Tabriz Lane,Halifax,,Philippines,774HR-59,1.98,2023-01-04 12:05:44.501987+00
2789,179,2018-05-08 00:00:00+00,619 Hunuco Avenue,A Corua (La Corua),,Greenland,607HR-86,4.95,2023-01-04 12:05:44.503045+00
2790,329,2022-04-17 00:00:00+00,1587 Loja Manor,Kolpino,,Iran,237IL-36,4.95,2023-01-04 12:05:44.505272+00
2791,547,2021-10-22 00:00:00+00,600 Bradford Street,Laiwu,,South Africa,998VO-69,3.96,2023-01-04 12:05:44.506466+00
2792,580,2018-06-22 00:00:00+00,635 Brest Manor,Ashgabat,,India,2510OS-13,1.98,2023-01-04 12:05:44.507536+00
2793,482,2022-02-25 00:00:00+00,333 Goinia Way,Tartu,,Spain,497IC-66,3.96,2023-01-04 12:05:44.508573+00
2794,224,2018-10-21 00:00:00+00,710 San Felipe del Progreso Avenue,Phnom Penh,,India,3310HI-86,1.98,2023-01-04 12:05:44.509626+00
2795,346,2021-11-07 00:00:00+00,1 Valle de Santiago Avenue,A Corua (La Corua),,United States,633EA-26,3.96,2023-01-04 12:05:44.510646+00
2796,118,2019-12-17 00:00:00+00,144 South Hill Loop,Usolje-Sibirskoje,,China,219AU-24,1.98,2023-01-04 12:05:44.511684+00
2797,164,2018-07-03 00:00:00+00,1785 So Bernardo do Campo Street,al-Qadarif,,South Korea,326IO-19,5.94,2023-01-04 12:05:44.512711+00
2798,486,2021-12-29 00:00:00+00,1747 Rustenburg Place,Lublin,,French Guiana,224AC-88,3.96,2023-01-04 12:05:44.514103+00
2799,572,2019-12-23 00:00:00+00,1658 Jastrzebie-Zdrj Loop,Usolje-Sibirskoje,,Canada,647AR-64,2.97,2023-01-04 12:05:44.515668+00
2800,412,2022-01-20 00:00:00+00,891 Novi Sad Manor,Huixquilucan,,Nigeria,188AR-66,1.98,2023-01-04 12:05:44.516858+00
2801,171,2022-03-13 00:00:00+00,1749 Daxian Place,San Juan Bautista Tuxtepec,,India,841HR-34,8.93,2023-01-04 12:05:44.517938+00
2802,250,2019-11-29 00:00:00+00,1586 Guaruj Place,Jastrzebie-Zdrj,,United States,697RA-28,2.97,2023-01-04 12:05:44.519063+00
2803,203,2022-08-19 00:00:00+00,544 Malm Parkway,Ashdod,,Turkey,794ER-73,5.94,2023-01-04 12:05:44.520903+00
2804,239,2018-06-16 00:00:00+00,500 Lincoln Parkway,Compton,,Mexico,820AY-90,1.98,2023-01-04 12:05:44.522037+00
2805,501,2018-10-30 00:00:00+00,588 Vila Velha Manor,Hodeida,,Russian Federation,287ER-57,3.96,2023-01-04 12:05:44.52343+00
2806,596,2018-10-12 00:00:00+00,984 Effon-Alaiye Avenue,Sultanbeyli,,France,3510RA-74,4.95,2023-01-04 12:05:44.524669+00
2807,276,2019-10-19 00:00:00+00,943 Johannesburg Avenue,Grand Prairie,,Venezuela,120IL-72,7.92,2023-01-04 12:05:44.525743+00
2808,291,2019-12-13 00:00:00+00,503 Sogamoso Loop,Ife,,China,142UC-89,2.97,2023-01-04 12:05:44.526812+00
2809,501,2018-10-23 00:00:00+00,1839 Szkesfehrvr Parkway,Kansas City,,Netherlands,939IC-40,5.94,2023-01-04 12:05:44.527864+00
2810,419,2019-03-09 00:00:00+00,1926 Gingoog Street,Huixquilucan,,Cambodia,088EN-29,2.97,2023-01-04 12:05:44.528881+00
2811,293,2021-08-17 00:00:00+00,698 Otsu Street,NDjamna,,Philippines,371IN-57,1.98,2023-01-04 12:05:44.529942+00
2812,308,2020-09-11 00:00:00+00,1269 Ipoh Avenue,Iwatsuki,,Brazil,1059LA-56,4.95,2023-01-04 12:05:44.531283+00
2813,233,2021-05-03 00:00:00+00,660 Jedda Boulevard,Taguig,,China,1028OM-67,1.98,2023-01-04 12:05:44.532399+00
2814,403,2020-12-07 00:00:00+00,1792 Valle de la Pascua Place,Lubumbashi,,Mexico,334EN-83,1.98,2023-01-04 12:05:44.533466+00
2815,578,2018-11-21 00:00:00+00,722 Bradford Lane,Denizli,,Tonga,569HA-23,1.98,2023-01-04 12:05:44.534515+00
2816,105,2022-02-03 00:00:00+00,955 Bamenda Way,Ozamis,,Kenya,872OD-04,3.96,2023-01-04 12:05:44.537199+00
2817,312,2020-05-03 00:00:00+00,434 Ourense (Orense) Manor,Springs,,United States,915RA-103,3.96,2023-01-04 12:05:44.539389+00
2818,520,2019-08-24 00:00:00+00,1942 Ciparay Parkway,Gatineau,,Indonesia,245RI-29,3.96,2023-01-04 12:05:44.540885+00
2819,422,2022-11-28 00:00:00+00,782 Mosul Street,Ede,,India,349AC-60,1.98,2023-01-04 12:05:44.542127+00
2820,191,2018-03-10 00:00:00+00,1641 Changhwa Place,La Plata,,Mexico,241AR-19,5.94,2023-01-04 12:05:44.543289+00
2821,332,2020-01-05 00:00:00+00,432 Garden Grove Street,Qomsheh,,Greenland,939EO-15,2.97,2023-01-04 12:05:44.544438+00
2822,436,2020-03-07 00:00:00+00,88 Nagaon Manor,Songkhla,,Egypt,6410DD-46,5.94,2023-01-04 12:05:44.545575+00
2823,202,2019-10-11 00:00:00+00,1114 Liepaja Street,Brest,,Yemen,366RA-69,4.95,2023-01-04 12:05:44.546857+00
2824,557,2019-09-11 00:00:00+00,817 Laredo Avenue,Maracabo,,Kenya,112AR-93,3.97,2023-01-04 12:05:44.54863+00
2825,370,2022-10-24 00:00:00+00,1860 Taguig Loop,Papeete,,Russian Federation,471RL-22,2.97,2023-01-04 12:05:44.549914+00
2826,120,2020-04-28 00:00:00+00,102 Chapra Drive,Ashdod,,Indonesia,502US-48,3.96,2023-01-04 12:05:44.552355+00
2827,272,2021-04-14 00:00:00+00,922 Vila Velha Loop,Probolinggo,,Sweden,267UD-38,5.94,2023-01-04 12:05:44.554053+00
2828,216,2022-03-09 00:00:00+00,680 A Corua (La Corua) Manor,El Fuerte,,Spain,528RY-24,4.95,2023-01-04 12:05:44.555564+00
2829,496,2020-06-22 00:00:00+00,51 Laredo Avenue,Phnom Penh,,Israel,478DA-85,2.97,2023-01-04 12:05:44.556792+00
2830,301,2021-09-08 00:00:00+00,758 Korolev Parkway,Niznekamsk,,United States,915RA-103,1.98,2023-01-04 12:05:44.558102+00
2831,208,2021-03-25 00:00:00+00,954 Lapu-Lapu Way,Botosani,,Peru,725UZ-76,3.96,2023-01-04 12:05:44.559154+00
2832,593,2019-01-03 00:00:00+00,435 0 Way,Malm,,Indonesia,638AT-100,4.96,2023-01-04 12:05:44.560199+00
2833,209,2019-01-25 00:00:00+00,434 Ourense (Orense) Manor,Greensboro,,Vietnam,145ER-90,6.93,2023-01-04 12:05:44.561237+00
2834,500,2019-05-19 00:00:00+00,984 Novoterkassk Loop,guas Lindas de Gois,,Venezuela,632EA-37,0.99,2023-01-04 12:05:44.562288+00
2835,128,2022-05-26 00:00:00+00,682 Garden Grove Place,guas Lindas de Gois,,Russian Federation,891OB-24,1.98,2023-01-04 12:05:44.563422+00
2836,517,2020-10-06 00:00:00+00,661 Chisinau Lane,Ktahya,,Peru,1076LS-31,3.96,2023-01-04 12:05:44.564838+00
2837,113,2019-11-23 00:00:00+00,848 Tafuna Manor,Tete,,Taiwan,516UE-63,2.97,2023-01-04 12:05:44.566122+00
2838,280,2022-11-01 00:00:00+00,68 Ponce Parkway,Haldia,,Russian Federation,708LE-91,2.97,2023-01-04 12:05:44.568115+00
2839,457,2022-10-02 00:00:00+00,608 Birgunj Parkway,Madiun,,Philippines,632EA-37,2.97,2023-01-04 12:05:44.569224+00
2840,244,2020-07-23 00:00:00+00,614 Denizli Parkway,Smolensk,,India,476AS-94,2.97,2023-01-04 12:05:44.570324+00
2841,593,2022-09-17 00:00:00+00,850 Salala Loop,Blumenau,,Brazil,055AR-84,1.99,2023-01-04 12:05:44.571373+00
2842,422,2021-11-03 00:00:00+00,651 Pathankot Loop,NDjamna,,Russian Federation,921EF-87,1.98,2023-01-04 12:05:44.572423+00
2843,262,2018-04-23 00:00:00+00,1014 Loja Manor,Xiangtan,,Egypt,142UC-89,4.95,2023-01-04 12:05:44.573437+00
2844,576,2020-12-16 00:00:00+00,1153 Allende Way,Cam Ranh,,United Arab Emirates,895EV-74,2.97,2023-01-04 12:05:44.574476+00
2845,509,2021-02-24 00:00:00+00,1718 Valencia Street,Valle de Santiago,,Canada,479ND-85,2.97,2023-01-04 12:05:44.575483+00
2846,559,2022-04-18 00:00:00+00,781 Shimonoseki Drive,Jinchang,,Tanzania,9106OD-89,2.97,2023-01-04 12:05:44.576516+00
2847,463,2019-08-28 00:00:00+00,1308 Sumy Loop,Poos de Caldas,,Vietnam,577EC-75,2.97,2023-01-04 12:05:44.577518+00
2848,263,2020-06-30 00:00:00+00,781 Shimonoseki Drive,Lincoln,,South Korea,118ER-74,2.97,2023-01-04 12:05:44.578514+00
2849,483,2022-01-04 00:00:00+00,46 Pjatigorsk Lane,Kaliningrad,,Nigeria,577EC-75,3.96,2023-01-04 12:05:44.579579+00
2850,143,2022-08-08 00:00:00+00,207 Cuernavaca Loop,Lipetsk,,Vietnam,376AW-69,3.96,2023-01-04 12:05:44.581192+00
2851,571,2019-10-06 00:00:00+00,885 Yingkou Manor,Lincoln,,United States,245RI-29,1.98,2023-01-04 12:05:44.584445+00
2852,427,2019-12-31 00:00:00+00,1443 Mardan Street,Sambhal,,Turkey,799ER-35,3.97,2023-01-04 12:05:44.586512+00
2853,138,2021-03-13 00:00:00+00,543 Bergamo Avenue,Balurghat,,India,370EN-59,2.97,2023-01-04 12:05:44.588168+00
2854,323,2019-06-11 00:00:00+00,1658 Jastrzebie-Zdrj Loop,Hsichuh,,Malaysia,476AS-94,3.96,2023-01-04 12:05:44.589399+00
2855,259,2021-10-30 00:00:00+00,734 Tanshui Avenue,Hoshiarpur,,Brazil,688AY-61,3.96,2023-01-04 12:05:44.590498+00
2856,369,2018-06-23 00:00:00+00,1675 Xiangfan Manor,Donostia-San Sebastin,,China,459SC-95,3.96,2023-01-04 12:05:44.59155+00
2857,305,2022-02-27 00:00:00+00,397 Sunnyvale Avenue,Jaroslavl,,Runion,0410VA-19,2.97,2023-01-04 12:05:44.592618+00
2858,534,2019-10-03 00:00:00+00,920 Kumbakonam Loop,Saint-Denis,,South Africa,577EC-75,4.95,2023-01-04 12:05:44.593662+00
2859,225,2021-05-12 00:00:00+00,943 Tokat Street,Chandrapur,,Dominican Republic,088RU-410,2.97,2023-01-04 12:05:44.594725+00
2860,163,2019-03-19 00:00:00+00,125 Citt del Vaticano Boulevard,Kurgan,,Russian Federation,152RI-58,0.99,2023-01-04 12:05:44.595813+00
2861,597,2020-07-21 00:00:00+00,454 Nakhon Sawan Boulevard,Sucre,,India,169ED-19,3.96,2023-01-04 12:05:44.597579+00
2862,403,2021-12-10 00:00:00+00,686 Garland Manor,Kaliningrad,,India,989ND-36,3.96,2023-01-04 12:05:44.600385+00
2863,360,2022-08-22 00:00:00+00,751 Lima Loop,Maring,,Russian Federation,315LL-74,3.96,2023-01-04 12:05:44.601566+00
2864,245,2022-03-10 00:00:00+00,1088 Ibirit Place,Mandi Bahauddin,,China,5110OR-54,4.95,2023-01-04 12:05:44.602647+00
2865,568,2018-06-25 00:00:00+00,1050 Garden Grove Avenue,Yaound,,United Kingdom,557EG-12,2.97,2023-01-04 12:05:44.603692+00
2866,249,2020-11-06 00:00:00+00,1987 Coacalco de Berriozbal Loop,Tuguegarao,,United States,814RE-64,4.95,2023-01-04 12:05:44.604735+00
2867,299,2022-08-08 00:00:00+00,754 Valencia Place,Birgunj,,Colombia,362YA-12,6.94,2023-01-04 12:05:44.605781+00
2868,555,2022-07-07 00:00:00+00,85 San Felipe de Puerto Plata Drive,Purwakarta,,United States,1097TE-88,1.98,2023-01-04 12:05:44.606818+00
2869,486,2019-12-10 00:00:00+00,368 Hunuco Boulevard,Hiroshima,,Colombia,087AL-42,1.98,2023-01-04 12:05:44.607856+00
2870,370,2021-07-23 00:00:00+00,437 Chungho Drive,Miraj,,Spain,940AR-48,2.97,2023-01-04 12:05:44.608907+00
2871,242,2020-12-21 00:00:00+00,1718 Valencia Street,Isesaki,,India,012AS-68,1.98,2023-01-04 12:05:44.61017+00
2872,575,2018-10-02 00:00:00+00,381 Kabul Way,Tuguegarao,,Brazil,863AR-87,1.98,2023-01-04 12:05:44.611265+00
2873,320,2018-01-30 00:00:00+00,1257 Guadalajara Street,Olomouc,,India,193LE-09,0.99,2023-01-04 12:05:44.612293+00
2874,420,2022-02-22 00:00:00+00,757 Rustenburg Avenue,Iwaki,,United Arab Emirates,656EL-68,1.98,2023-01-04 12:05:44.615321+00
2875,377,2021-01-22 00:00:00+00,457 Tongliao Loop,Nha Trang,,China,241EA-34,3.96,2023-01-04 12:05:44.616662+00
2876,259,2019-12-05 00:00:00+00,543 Bergamo Avenue,El Monte,,Poland,421EG-11,2.97,2023-01-04 12:05:44.618296+00
2877,142,2018-02-10 00:00:00+00,46 Pjatigorsk Lane,Jastrzebie-Zdrj,,Puerto Rico,588DN-81,2.97,2023-01-04 12:05:44.61949+00
2878,383,2018-08-18 00:00:00+00,600 Bradford Street,Urawa,,China,778EB-96,1.98,2023-01-04 12:05:44.620609+00
2879,260,2019-04-20 00:00:00+00,76 Kermanshah Manor,Tabora,,Nigeria,800IC-68,2.97,2023-01-04 12:05:44.621687+00
2880,301,2020-01-16 00:00:00+00,1229 Valencia Parkway,Peoria,,Taiwan,898IC-10,3.96,2023-01-04 12:05:44.622722+00
2881,269,2021-01-26 00:00:00+00,656 Matamoros Drive,Bag,,United States,132YR-84,0.99,2023-01-04 12:05:44.623757+00
2882,460,2019-07-22 00:00:00+00,1060 Tandil Lane,Bern,,Colombia,5710UA-27,2.97,2023-01-04 12:05:44.624795+00
2883,351,2021-09-19 00:00:00+00,1860 Taguig Loop,Mwene-Ditu,,Argentina,8210AM-410,4.95,2023-01-04 12:05:44.625859+00
2884,422,2022-12-17 00:00:00+00,81 Hodeida Way,Hsichuh,,Cambodia,694AU-69,4.95,2023-01-04 12:05:44.626932+00
2885,247,2020-04-29 00:00:00+00,717 Changzhou Lane,Stara Zagora,,Russian Federation,157LO-52,0.99,2023-01-04 12:05:44.627992+00
2886,295,2019-07-11 00:00:00+00,829 Grand Prairie Way,Imus,,United States,155LY-88,2.97,2023-01-04 12:05:44.630179+00
2887,168,2021-02-16 00:00:00+00,1987 Coacalco de Berriozbal Loop,Springs,,Japan,962EL-09,3.96,2023-01-04 12:05:44.631893+00
2888,594,2020-10-07 00:00:00+00,486 Ondo Parkway,York,,Poland,863ER-19,3.96,2023-01-04 12:05:44.633081+00
2889,561,2020-05-01 00:00:00+00,1736 Cavite Place,Sambhal,,Colombia,571IC-97,2.97,2023-01-04 12:05:44.634175+00
2890,539,2022-11-20 00:00:00+00,740 Udaipur Lane,Junan,,Brazil,753EA-18,2.97,2023-01-04 12:05:44.635244+00
2891,297,2018-10-03 00:00:00+00,660 Jedda Boulevard,Cuauhtmoc,,South Africa,739RE-89,2.97,2023-01-04 12:05:44.636292+00
2892,116,2021-12-14 00:00:00+00,1948 Bayugan Parkway,Pak Kret,,Cameroon,341AR-02,1.98,2023-01-04 12:05:44.637325+00
2893,320,2020-03-25 00:00:00+00,1635 Kuwana Boulevard,La Plata,,India,2810TA-74,1.98,2023-01-04 12:05:44.638361+00
2894,471,2020-09-15 00:00:00+00,617 Klerksdorp Place,Touliu,,United States,701AV-07,5.94,2023-01-04 12:05:44.639435+00
2895,175,2020-03-20 00:00:00+00,1922 Miraj Way,Tama,,Turkey,8107AM-14,4.95,2023-01-04 12:05:44.640496+00
2896,420,2022-01-26 00:00:00+00,264 Bhimavaram Manor,Junan,,Italy,507RI-71,2.97,2023-01-04 12:05:44.641509+00
2897,312,2022-08-08 00:00:00+00,1213 Ranchi Parkway,Mit Ghamr,,Dominican Republic,423OA-22,2.97,2023-01-04 12:05:44.642545+00
2898,474,2022-09-11 00:00:00+00,1031 Daugavpils Parkway,Clarksville,,India,1033UB-53,1.98,2023-01-04 12:05:44.643574+00
2899,237,2021-07-30 00:00:00+00,496 Celaya Drive,Tandil,,Japan,517NT-34,1.98,2023-01-04 12:05:44.6446+00
2900,411,2018-04-27 00:00:00+00,1966 Amroha Avenue,Sanaa,,United Kingdom,0410VA-19,5.95,2023-01-04 12:05:44.645638+00
2901,533,2022-02-18 00:00:00+00,544 Tarsus Boulevard,Satna,,Bulgaria,846NN-36,3.96,2023-01-04 12:05:44.646782+00
2902,232,2020-08-05 00:00:00+00,1214 Hanoi Way,Yinchuan,,Sudan,964AC-27,1.98,2023-01-04 12:05:44.650184+00
2903,319,2018-04-24 00:00:00+00,1001 Miyakonojo Lane,Maracabo,,China,657TE-86,3.96,2023-01-04 12:05:44.65174+00
2904,191,2020-05-09 00:00:00+00,203 Tambaram Street,Rockford,,Indonesia,098EA-16,3.96,2023-01-04 12:05:44.653291+00
2905,217,2018-10-07 00:00:00+00,1778 Gijn Manor,Cam Ranh,,Colombia,266IL-96,1.98,2023-01-04 12:05:44.65444+00
2906,324,2021-06-28 00:00:00+00,1967 Sincelejo Place,Siegen,,Indonesia,969EL-12,4.95,2023-01-04 12:05:44.655492+00
2907,230,2021-11-20 00:00:00+00,1658 Jastrzebie-Zdrj Loop,Okinawa,,Turkey,820AY-90,2.97,2023-01-04 12:05:44.656549+00
2908,537,2021-12-30 00:00:00+00,503 Sogamoso Loop,Bhimavaram,,Russian Federation,423OA-22,4.95,2023-01-04 12:05:44.657564+00
2909,599,2018-12-27 00:00:00+00,591 Sungai Petani Drive,Bislig,,Japan,843AL-910,2.97,2023-01-04 12:05:44.658603+00
2910,578,2021-12-06 00:00:00+00,533 al-Ayn Boulevard,Sumy,,South Africa,1108IG-57,4.96,2023-01-04 12:05:44.659615+00
2911,152,2018-06-07 00:00:00+00,1749 Daxian Place,Linz,,Netherlands,422OR-36,3.97,2023-01-04 12:05:44.660644+00
2912,285,2020-09-07 00:00:00+00,126 Acua Parkway,Suihua,,China,656EL-68,0.99,2023-01-04 12:05:44.66167+00
2913,122,2019-04-02 00:00:00+00,1416 San Juan Bautista Tuxtepec Avenue,Ondo,,India,317IA-44,5.94,2023-01-04 12:05:44.66323+00
2914,478,2018-10-07 00:00:00+00,320 Baiyin Parkway,Shubra al-Khayma,,Nigeria,524LO-74,1.98,2023-01-04 12:05:44.665379+00
2915,331,2022-08-19 00:00:00+00,659 Gatineau Boulevard,Stara Zagora,,Russian Federation,572ER-54,2.97,2023-01-04 12:05:44.666535+00
2916,158,2018-11-24 00:00:00+00,1623 Kingstown Drive,Teboksary,,Turkey,925LI-51,2.97,2023-01-04 12:05:44.667602+00
2917,401,2022-04-14 00:00:00+00,827 Yuncheng Drive,Salinas,,Mexico,713DI-37,1.98,2023-01-04 12:05:44.668646+00
2918,537,2018-02-28 00:00:00+00,1718 Valencia Street,Sirjan,,Japan,913IF-36,3.96,2023-01-04 12:05:44.669664+00
2919,199,2019-03-29 00:00:00+00,898 Belm Manor,ostka,,Japan,263MM-110,2.97,2023-01-04 12:05:44.670688+00
2920,459,2020-05-17 00:00:00+00,1469 Plock Lane,Gulbarga,,India,2103IA-04,1.98,2023-01-04 12:05:44.671744+00
2921,402,2020-03-27 00:00:00+00,929 Tallahassee Loop,Tegal,,Mozambique,4810YL-13,2.97,2023-01-04 12:05:44.672822+00
2922,498,2020-02-04 00:00:00+00,682 Halisahar Place,Ogbomosho,,Brunei,998VO-69,2.97,2023-01-04 12:05:44.673853+00
2923,538,2021-01-17 00:00:00+00,60 Poos de Caldas Street,El Alto,,India,409HE-58,1.98,2023-01-04 12:05:44.674871+00
2924,502,2021-10-09 00:00:00+00,220 Hidalgo Drive,Iwatsuki,,India,699IC-75,3.96,2023-01-04 12:05:44.675918+00
2925,438,2018-05-05 00:00:00+00,951 Stara Zagora Manor,Dhule (Dhulia),,United States,841HR-34,5.94,2023-01-04 12:05:44.676985+00
2926,136,2022-09-14 00:00:00+00,1386 Nakhon Sawan Boulevard,Bhimavaram,,Japan,711AN-81,2.97,2023-01-04 12:05:44.67803+00
2927,507,2019-03-15 00:00:00+00,885 Yingkou Manor,Linz,,China,988IC-94,1.98,2023-01-04 12:05:44.680707+00
2928,140,2019-09-11 00:00:00+00,1175 Tanauan Way,Funafuti,,China,223EO-102,7.93,2023-01-04 12:05:44.682721+00
2929,308,2019-11-01 00:00:00+00,1150 Kimchon Manor,Hohhot,,Sri Lanka,0108RI-82,3.97,2023-01-04 12:05:44.684471+00
2930,511,2021-01-17 00:00:00+00,1740 Le Mans Loop,Korla,,Russian Federation,221OR-27,3.96,2023-01-04 12:05:44.685585+00
2931,214,2021-04-10 00:00:00+00,507 Smolensk Loop,Ambattur,,Italy,1083ES-11,1.98,2023-01-04 12:05:44.686641+00
2932,509,2019-12-29 00:00:00+00,1697 Kowloon and New Kowloon Loop,Lubumbashi,,United States,157LO-52,1.98,2023-01-04 12:05:44.687693+00
2933,328,2018-10-13 00:00:00+00,1114 Liepaja Street,Ondo,,Netherlands,4106AU-30,5.95,2023-01-04 12:05:44.688715+00
2934,229,2018-02-18 00:00:00+00,1346 Mysore Drive,Daxian,,Japan,088RU-410,1.98,2023-01-04 12:05:44.689758+00
2935,175,2021-01-26 00:00:00+00,381 Kabul Way,Yinchuan,,Vietnam,621EN-06,2.97,2023-01-04 12:05:44.690803+00
2936,274,2019-03-07 00:00:00+00,1993 Tabuk Lane,Liaocheng,,China,672MI-47,5.95,2023-01-04 12:05:44.691889+00
2937,519,2018-06-15 00:00:00+00,447 Surakarta Loop,Tabora,,United States,054IO-73,2.97,2023-01-04 12:05:44.69294+00
2938,195,2019-04-13 00:00:00+00,591 Sungai Petani Drive,Vicente Lpez,,Turkey,860UI-57,6.94,2023-01-04 12:05:44.694453+00
2939,432,2020-01-12 00:00:00+00,1922 Miraj Way,Ogbomosho,,Paraguay,726US-51,2.97,2023-01-04 12:05:44.69625+00
2940,338,2019-08-29 00:00:00+00,1542 Lubumbashi Boulevard,Zanzibar,,Spain,087AL-42,3.97,2023-01-04 12:05:44.698029+00
2941,412,2020-10-30 00:00:00+00,600 Purnea (Purnia) Avenue,Huaian,,United States,281LE-22,2.97,2023-01-04 12:05:44.699246+00
2942,436,2019-12-13 00:00:00+00,867 Benin City Avenue,Enshi,,Philippines,9101IL-31,1.98,2023-01-04 12:05:44.700287+00
2943,196,2022-07-17 00:00:00+00,602 Paarl Street,Ponce,,Tonga,4910AN-54,2.97,2023-01-04 12:05:44.701324+00
2944,444,2020-02-18 00:00:00+00,1149 A Corua (La Corua) Boulevard,Ezhou,,Vietnam,990RE-75,1.98,2023-01-04 12:05:44.702371+00
2945,293,2022-07-10 00:00:00+00,692 Amroha Drive,Laohekou,,Brunei,628AW-40,2.97,2023-01-04 12:05:44.703405+00
2946,461,2020-05-15 00:00:00+00,1831 Nam Dinh Loop,Denizli,,Philippines,326IO-19,5.94,2023-01-04 12:05:44.704428+00
2947,450,2021-09-06 00:00:00+00,1213 Ranchi Parkway,Yangor,,Japan,186IS-58,5.94,2023-01-04 12:05:44.705454+00
2948,177,2021-03-07 00:00:00+00,486 Ondo Parkway,Ede,,Mexico,157AR-48,1.98,2023-01-04 12:05:44.706464+00
2949,469,2021-10-06 00:00:00+00,1124 Buenaventura Drive,Mukateve,,China,224AC-88,7.92,2023-01-04 12:05:44.707493+00
2950,570,2018-08-13 00:00:00+00,117 Boa Vista Way,Kanchrapara,,Tanzania,774HR-59,3.96,2023-01-04 12:05:44.708531+00
2951,534,2021-11-11 00:00:00+00,1666 Beni-Mellal Place,Jinchang,,India,6910EA-53,5.95,2023-01-04 12:05:44.709739+00
2952,194,2022-02-26 00:00:00+00,906 Goinia Way,Malm,,Cambodia,221OR-27,3.96,2023-01-04 12:05:44.711497+00
2953,508,2019-06-12 00:00:00+00,1926 El Alto Avenue,Kirovo-Tepetsk,,India,5110VE-13,1.98,2023-01-04 12:05:44.712691+00
2954,404,2018-09-11 00:00:00+00,1658 Cuman Loop,Molodetno,,Canada,314LF-15,2.97,2023-01-04 12:05:44.714406+00
2955,291,2020-12-04 00:00:00+00,832 Nakhon Sawan Manor,Phnom Penh,,China,7110IT-25,0.99,2023-01-04 12:05:44.715736+00
2956,506,2019-09-03 00:00:00+00,226 Brest Manor,El Alto,,Brazil,593EF-51,2.97,2023-01-04 12:05:44.716832+00
2957,427,2021-03-01 00:00:00+00,1769 Iwaki Lane,Goinia,,Afghanistan,344AN-65,1.98,2023-01-04 12:05:44.717895+00
2958,433,2019-09-27 00:00:00+00,251 Florencia Drive,Songkhla,,Malawi,0410VA-19,3.96,2023-01-04 12:05:44.718969+00
2959,154,2019-12-03 00:00:00+00,1668 Saint Louis Place,Probolinggo,,Russian Federation,146AR-36,3.97,2023-01-04 12:05:44.72001+00
2960,328,2022-05-22 00:00:00+00,1308 Sumy Loop,Chandrapur,,India,988IC-94,4.95,2023-01-04 12:05:44.721094+00
2961,482,2022-08-25 00:00:00+00,1479 Rustenburg Boulevard,Kanchrapara,,United Arab Emirates,071EO-59,3.96,2023-01-04 12:05:44.722131+00
2962,479,2021-07-01 00:00:00+00,259 Ipoh Drive,Aurora,,United States,2103IA-04,2.97,2023-01-04 12:05:44.723185+00
2963,182,2022-03-15 00:00:00+00,226 Halifax Street,Ede,,Brazil,872OD-04,0.99,2023-01-04 12:05:44.724242+00
2964,372,2022-02-10 00:00:00+00,734 Bchar Place,Moscow,,China,6410DD-46,1.98,2023-01-04 12:05:44.725611+00
2965,275,2018-11-06 00:00:00+00,435 0 Way,Mogiljov,,Philippines,1097YL-89,2.98,2023-01-04 12:05:44.727813+00
2966,379,2018-08-17 00:00:00+00,1872 Toulon Loop,San Lorenzo,,China,610OR-97,3.97,2023-01-04 12:05:44.729407+00
2967,433,2021-11-23 00:00:00+00,786 Matsue Way,Rae Bareli,,Switzerland,078AL-04,3.96,2023-01-04 12:05:44.731048+00
2968,456,2018-10-09 00:00:00+00,431 Xiangtan Avenue,Jalib al-Shuyukh,,Thailand,364ST-22,1.98,2023-01-04 12:05:44.73272+00
2969,364,2018-03-21 00:00:00+00,1338 Zalantun Lane,Acua,,Japan,7107EA-91,1.98,2023-01-04 12:05:44.73383+00
2970,399,2021-09-07 00:00:00+00,767 Pyongyang Drive,San Miguel de Tucumn,,Russian Federation,724NA-010,4.95,2023-01-04 12:05:44.734881+00
2971,459,2020-03-04 00:00:00+00,600 Purnea (Purnia) Avenue,Pereira,,Cambodia,7107EA-91,1.98,2023-01-04 12:05:44.73616+00
2972,290,2020-02-26 00:00:00+00,817 Bradford Loop,Oyo,,Indonesia,966ON-43,3.96,2023-01-04 12:05:44.737207+00
2973,287,2021-06-02 00:00:00+00,1789 Saint-Denis Parkway,Cabuyao,,Turkey,157LO-52,1.98,2023-01-04 12:05:44.738257+00
2974,119,2019-01-20 00:00:00+00,98 Pyongyang Boulevard,Probolinggo,,North Korea,633EA-26,0.99,2023-01-04 12:05:44.739334+00
2975,583,2020-12-14 00:00:00+00,1565 Tangail Manor,Tianjin,,South Africa,571IC-97,1.98,2023-01-04 12:05:44.740352+00
